Company Name,Domain,SEO Description
Microfun,microfun.com,Chinese mobile publisher ranking in top 4 by revenue in November 2025
SuperPlay,superplay.co,Rising mobile gaming studio with innovative gameplay mechanics and rapid growth
INFINITY-UP,infinity-up.com,Newest rapidly growing mobile developer with scalable systems for indie and enterprise clients
Starloop Studios,starloopstudios.com,Spanish studio specializing in simulation and strategy titles with end-to-end development services
Innofied,innofied.com,Design-focused mobile game developer popular among startups for user-friendly experiences
G5 Games,g5e.com,Publisher of Hidden City and Mahjong Journey with strong casual gaming portfolio
Bandai Namco,bandainamcoent.com,Japanese publisher with anime IP partnerships and mobile game expansion
NCSoft,ncsoft.com,South Korean MMO developer and part of 3N+K2 gaming conglomerate
Smilegate,smilegate.com,South Korean publisher and member of major gaming alliance creating mobile titles
Kakao Games,kakaogames.com,Korean gaming company leveraging social platform integration for mobile success
Krafton,krafton.com,South Korean PUBG publisher and 3N+K2 conglomerate member with mobile expansion
Activision Blizzard,activisionblizzard.com,Major publisher expanding Call of Duty and Diablo franchises to mobile platforms
Microsoft Gaming,xbox.com,Tech giant's gaming division with mobile strategy through acquisitions and cloud gaming
Nintendo,nintendo.com,Japanese gaming legend expanding Mario and Pokemon IP to mobile platforms
Sony,playstation.com,Entertainment giant investing in mobile gaming through PlayStation Studios
Sega Sammy,sega.com,Japanese publisher of mobile and console games with Sonic and classic IP
Take-Two Interactive,take2games.com,Parent company of Zynga and Rockstar expanding GTA to mobile platforms
Jam City,jamcity.com,US developer of Harry Potter: Hogwarts Mystery and licensed mobile games
Glu Mobile,glu.com,American studio behind Design Home and Covet Fashion simulation games
Etermax,etermax.com,Argentinian developer of Trivia Crack and casual mobile entertainment
Paradox Interactive,paradoxinteractive.com,Swedish grand strategy publisher with mobile adaptations and indie publishing
Versus Evil,versusevil.com,US RPG and strategy games publisher founded 2013 with diverse portfolio
Coffee Stain,coffeestain.com,Swedish developer of Goat Simulator and Valheim survival sandbox hit
AppLovin,applovin.com,Mobile ad tech platform with integrated game development studios
Unity Technologies,unity.com,Game engine company with mobile game studios leveraging development platform
Roblox Corporation,roblox.com,User-generated content platform powering millions of mobile games
Epic Games,epicgames.com,Fortnite creator expanding battle royale franchise to mobile platforms
Riot Games,riotgames.com,League of Legends developer with mobile MOBA Wild Rift
Blizzard Entertainment,blizzard.com,Activision subsidiary behind Diablo Immortal and Warcraft mobile expansion
Square Enix,square-enix.com,Japanese RPG legend bringing Final Fantasy franchise to mobile platforms
Konami,konami.com,Japanese publisher adapting Yu-Gi-Oh and classic franchises for mobile
Capcom,capcom.com,Osaka-based developer creating mobile versions of Resident Evil and Monster Hunter
Koei Tecmo,koeitecmo.com,Japanese strategy game publisher with Dynasty Warriors mobile adaptations
Gree,gree.net,Japanese mobile social gaming company with extensive free-to-play portfolio
DeNA,dena.com,Tokyo-based mobile game publisher partnering with Nintendo and Marvel
Colopl,colopl.co.jp,Japanese mobile developer with location-based and traditional mobile games
Klab,klab.com,Japanese mobile studio creating anime-licensed games and original IP
Aniplex,aniplex-inc.com,Sony subsidiary publishing mobile games from popular anime properties
Bushiroad,bushiroad.com,Japanese publisher of trading card and mobile games with multimedia franchises
Eyedentity Games,eyedentitygames.com,South Korean mobile RPG developer with action-oriented gameplay
Com2uS,com2us.com,Korean publisher of Summoners War with 200M+ downloads and esports presence
GameVil,gamevil.com,South Korean mobile RPG publisher with diverse fantasy game portfolio
4:33 Creative Lab,4-33.co.kr,Korean mobile game developer specializing in innovative gameplay mechanics
Longtu Game,longtugame.com,Chinese mobile strategy game publisher with growing international presence
Youzu Interactive,yoozoo.com,Chinese publisher of strategy and RPG mobile games expanding globally
Elex,elextech.com,Chinese developer of mobile strategy games with base-building mechanics
Tap4fun,tap4fun.com,Chinese mobile strategy game developer creating empire-building experiences
Efun Company,efun.com,Chinese mobile game publisher distributing titles across Asian markets
Locojoy,locojoy.com,Chinese mobile RPG developer with action combat systems
DroidHang,droidhang.com,Chinese mobile game studio creating strategy and simulation titles
HK Hero Entertainment,hkhero.com,Hong Kong-based mobile game publisher with Asian market focus
SkyMobi,skymobi.com,Chinese mobile game distribution platform and developer
Qcplay,qcplay.com,Chinese mobile game developer with casual and strategy portfolio
Seasun Games,seasungames.com,Chinese mobile RPG developer with high-quality 3D graphics
Perfect World,perfectworld.com,Chinese publisher of mobile and PC MMORPGs with global distribution
Snail Games,snailgamesusa.com,Chinese developer of ARK: Survival Evolved mobile adaptation
XD Inc.,xd.com,Chinese mobile game publisher with global distribution network
MooGold,moogold.com,Mobile gaming services platform providing virtual goods and currency
Big Fish Games,bigfishgames.com,US casual mobile games publisher with puzzle and hidden object titles
Jam City,jamcity.com,Los Angeles studio creating licensed mobile games with Hollywood partnerships
Wooga,wooga.com,German casual mobile game developer owned by Playtika
Goodgame Studios,goodgamestudios.com,German strategy browser and mobile games publisher
InnoGames,innogames.com,Hamburg-based developer of Forge of Empires and Elvenar strategy games
Plarium,plarium.com,Israeli/Ukrainian publisher of Raid: Shadow Legends and Vikings: War of Clans
FUNFLY / First Fun,firstfun.games,Singapore 4X strategy leader with Last War: Survival viral TikTok marketing success
River Game,rivergame.net,Chinese developer combining merge mechanics with 4X warfare in Top War
Florere Games,florereco.com,Emerging Chinese zombie-survival developer with Dark War Survival in top-50 grossing
