company_name,domain,tier,top_game,top_game_downloads,funding_status,seo_description,game_hook
Gameloft,gameloft.com,ADJACENT,Asphalt 9,100M+,Owned by Vivendi ($24B parent),"French publisher with AAA mobile racing and Disney games",Racing simulation with console-quality graphics
Electronic Arts,ea.com,ADJACENT,FIFA Mobile,100M+,Public company (NASDAQ: EA $40B),"Global gaming giant with official sports game licenses",Licensed sports simulations with live content
Activision Publishing,activision.com,ADJACENT,Call of Duty: Mobile,300M+,Acquired by Microsoft ($68.7B),"Publisher of the most successful mobile shooter franchise",FPS action with console-quality mobile experience
Krafton,krafton.com,ADJACENT,PUBG Mobile,1B+,Public company,"Korean publisher behind PUBG franchise with global esports",Battle royale phenomenon with realistic combat
Garena,garena.com,ADJACENT,Free Fire,1B+,Part of Sea Limited (NYSE: SE),"Southeast Asian publisher with Free Fire battle royale phenomenon",Battle royale optimized for emerging markets
MOONTON,moonton.com,ADJACENT,Mobile Legends: Bang Bang,500M+,Acquired by ByteDance,"Mobile MOBA developer with massive Southeast Asian playerbase",5v5 MOBA with fast-paced battles
CrazyLabs,crazylabs.com,BROAD,Super Stylist,100M+,VC-backed,"Israeli hypercasual publisher with 6B+ total downloads",Hypercasual fashion and lifestyle games
SayGames,saygames.io,BROAD,Johnny Trigger,100M+,VC-backed,"Belarus-based hypercasual publisher with viral action games",Action hypercasual with satisfying physics
Azur Games,azurgames.com,BROAD,Stack Ball,500M+,VC-backed,"Russian hypercasual publisher with massive download volume",Simple physics-based casual games
Kwalee,kwalee.com,BROAD,Draw It,100M+,Self-funded,"UK hypercasual publisher with creative drawing games",Drawing-based hypercasual with viral mechanics
Supersonic (Unity),supersonic.com,BROAD,Bridge Race,200M+,Part of Unity,$5B+,"Publishing platform for hypercasual with top-performing titles",Hypercasual racing and action games
Lion Studios (Tripledot),lionstudios.cc,BROAD,Happy Glass,100M+,Acquired by Tripledot,"Former AppLovin studio now part of Tripledot portfolio",Physics puzzle and hypercasual games
Good Job Games,goodjobgames.com,BROAD,Fun Race 3D,500M+,VC-backed,"Turkish hypercasual publisher with 1.84B+ total downloads",Racing and action hypercasual games
Rollic (Zynga),rollicgames.com,BROAD,High Heels!,200M+,Acquired by Zynga 2020,"Turkish hypercasual studio with 752M+ downloads",Viral hypercasual with creative mechanics
Ruby Game Studio,rubygamestudio.com,BROAD,Hunter Assassin,200M+,TÜBİTAK supported,"Turkish studio with 700M+ downloads based in İzmir",Stealth action hypercasual games
Masomo,masomo.com,BROAD,Head Ball 2,50M+,Acquired by Miniclip ($100M),"Turkish sports game studio known for Head Ball franchise",Multiplayer sports games with casual mechanics
Fugo Games,fugogames.com,BROAD,Words of Wonders,100M+,Self-funded,"Turkish word puzzle studio with 233M+ downloads",Word puzzle games with educational gameplay
Hitica,hitica.games,BROAD,Fight For America,8M+,Partner with Homa,"Turkish studio partnered with Homa for hybrid-casual success",Tower defense with high monetization
Cypher Games,cyphergames.com,BROAD,TBD,Pre-launch,$30M Series A,"Istanbul-based mobile gaming company with major funding",Strategy and RPG mobile games
TapNation,tap-nation.io,BROAD,Guess Their Answer,20M+,VC-backed,"French hypercasual publisher with social quiz games",Trivia and social guessing games
Amanotes,amanotes.com,BROAD,Magic Tiles 3,500M+,VC-backed,"Vietnamese music game studio with 2B+ downloads",Rhythm and music-based casual games
Outfit7,outfit7.com,BROAD,Talking Tom,15B+,Acquired by Jinke,"Slovenian studio with massive Talking Tom franchise",Virtual pet and casual games for families
Rovio (Sega),rovio.com,BROAD,Angry Birds 2,100M+,Acquired by Sega ($775M),"Finnish studio behind Angry Birds phenomenon",Physics puzzle with iconic bird characters
Devsisters,devsisters.com,BROAD,Cookie Run: Kingdom,50M+,VC-backed,"Korean studio with Cookie Run franchise success",Side-scrolling RPG with cookie characters
My.Games,my.games,BROAD,War Robots,50M+,VC-backed,"Russian publisher with War Robots generating $1B+ lifetime",Mech combat and action games
Pixonic,pixonic.com,BROAD,War Robots,50M+,Acquired by My.Games,"Russian studio behind War Robots franchise",Real-time mech battle action
SuperGaming,supergaming.gg,BROAD,MaskGun,100M+,$15M Series B,"Indian studio with proprietary SuperPlatform technology",Multiplayer FPS and battle royale
Mamboo Entertainment,mamboo.io,BROAD,TowerLands,10M+,Acquired from MY.GAMES,"Abu Dhabi-based publisher with 1B+ installs globally",Tower defense and hybrid-casual games
Sparkling Society,sparklingsociety.games,BROAD,City Island 5,150M+,Self-funded,"Netherlands-based city builder studio with 150M+ downloads",City building simulation games
Socialpoint (Take-Two),socialpoint.es,BROAD,Dragon City,100M+,Acquired by Take-Two,"Spanish studio with monster collection games",Dragon breeding and battle collection
InnoGames,innogames.com,BROAD,Forge of Empires,10M+,Acquired by MTG ($360M),"German strategy game developer with city-building focus",Historical city building through ages
Jam City,jamcity.com,BROAD,Harry Potter: Hogwarts Mystery,50M+,$350M funding,"US publisher with major licensed IP games",Narrative RPG with beloved franchises
Ludia (Jam City),ludia.com,BROAD,Jurassic World Alive,10M+,Acquired by Jam City ($165M),"Canadian studio with AR dinosaur games",AR collection with Jurassic Park IP
Plarium (Aristocrat),plarium.com,BROAD,Raid: Shadow Legends,50M+,Acquired by Aristocrat ($3.9B parent),"Israeli studio with dark fantasy RPG success",Dark fantasy RPG with 600+ champions
Machine Zone (Tripledot),mz.com,BROAD,Game of War,50M+,Acquired by Tripledot,"Legendary strategy studio with Game of War franchise",Real-time strategy MMO warfare
Belka Games (Tripledot),belka-games.com,BROAD,Clockmaker,30M+,Acquired by Tripledot,"Match-3 puzzle studio now part of Tripledot",Match-3 with mystery storylines
PeopleFun (Tripledot),peoplefun.com,BROAD,Wordscapes,50M+,Acquired by Tripledot,"Word puzzle studio with Wordscapes franchise",Word puzzle games with relaxing gameplay
Magic Tavern (Tripledot),magictavern.com,BROAD,Cooking Madness,30M+,Acquired by Tripledot,"Cooking game studio now part of Tripledot portfolio",Time management cooking games
Athena Studio (Tripledot),athenastudio.com,BROAD,Matchington Mansion,50M+,Acquired by Tripledot,"Match-3 mansion decoration studio",Match-3 with home renovation narrative
Zenlife Games (Tripledot),zenlifegames.com,BROAD,Hexa Sort,50M+,Acquired by Tripledot,"Sorting puzzle studio with viral Hexa Sort",Satisfying sorting puzzle mechanics
Diandian Interactive,diandian.com,BROAD,Family Farm Seaside,50M+,$1.17B revenue 2025,"Singapore studio thriving in farming simulation space",Farming and simulation long-tail games
Roblox Corporation,roblox.com,BROAD,Roblox,500M+,Public company (NYSE: RBLX),"User-generated game platform with massive creator ecosystem",Platform for player-created games
Epic Games,epicgames.com,BROAD,Fortnite,500M+,$5B+ funding,"Creator of Fortnite and Unreal Engine technology",Battle royale with live events and creator economy
Ndemic Creations,ndemiccreations.com,BROAD,Plague Inc.,50M+,Self-funded,"UK studio behind Plague Inc. phenomenon",Simulation games with unique pandemic theme
Konami,konami.com,BROAD,eFootball,100M+,Public company,"Japanese gaming giant with eFootball franchise",Football simulation with licensed teams
Bethesda (Microsoft),bethesda.net,BROAD,Fallout Shelter,50M+,Owned by Microsoft ($75.4B parent),"Legendary RPG studio with Fallout mobile spinoff",Vault management simulation
Square Enix,square-enix.com,BROAD,Final Fantasy XV Pocket Edition,10M+,Public company,"Japanese RPG giant with mobile Final Fantasy games",Classic JRPG experiences on mobile
Cygames,cygames.co.jp,BROAD,Granblue Fantasy,20M+,Subsidiary of CyberAgent,"Japanese studio with premium gacha RPGs",High-quality anime RPG with gacha
Aniplex Inc.,aniplex.co.jp,BROAD,Fate/Grand Order,50M+,Subsidiary of Sony,"Japanese studio behind Fate/Grand Order phenomenon",Story-driven gacha with anime IP
XFLAG (mixi),xflag.com,BROAD,Monster Strike,50M+,Subsidiary of mixi Inc.,"Japanese studio with Monster Strike cooperative gameplay",Physics-based co-op monster battler
Paper Games,papergames.com,BROAD,Love Nikki-Dress UP Queen,20M+,VC-backed,"Chinese studio with fashion dress-up games",Fashion and dress-up with story
Florere Game,floreregame.com,BROAD,Various puzzle titles,10M+,VC-backed,"Rising Chinese puzzle game developer",Puzzle games with innovative mechanics
River Game,rivergame.net,BROAD,Various casual titles,10M+,VC-backed,"Emerging Asian casual game studio",Casual mobile game experiences
SuperPlay,superplay.co,BROAD,Dice Dreams,30M+,VC-backed,"Israeli casual game studio with dice mechanics",Casual dice-based social games
Lingxi Games,lingxigames.com,BROAD,Three Kingdoms Tactics,10M+,VC-backed,"Chinese strategy game developer",Historical strategy games
Top Games,topwar.io,BROAD,Top War: Battle Game,50M+,VC-backed,"Merge-to-upgrade strategy game innovator",Innovative merge strategy mechanics
Camel Studio,camelgames.com,BROAD,Age of Origins,20M+,VC-backed,"Tower defense zombie strategy developer",Zombie tower defense with city building
4399,4399.com,BROAD,Various casual games,100M+,VC-backed,"Chinese casual game portal and publisher",Wide variety of casual games
Tuyoo Online,tuyoo.com,BROAD,Poker games,20M+,VC-backed,"Chinese card and casino game developer",Card and casino game experiences
Simogo,simogo.com,BROAD,Sayonara Wild Hearts,5M+,Self-funded,"Swedish indie studio with premium creative games",Artistic premium mobile experiences
Ketchapp (Ubisoft),ketchappstudio.com,BROAD,2048,100M+,Acquired by Ubisoft,"French hypercasual pioneer with iconic simple games",Simple addictive hypercasual games
Tapinator,tapinator.com,BROAD,Video Poker Classic,50M+,Public company (TAPM),"US social casino publisher with 500M+ downloads",Social casino with poker focus
Game Insight,game-insight.com,BROAD,Guns of Boom,20M+,VC-backed,"Lithuanian mobile game developer with shooter titles",Mobile shooter and strategy games
Ustwo Games,ustwogames.co.uk,BROAD,Monument Valley,30M+,Self-funded,"UK studio behind Monument Valley puzzle phenomenon",Artistic puzzle games with Escher-style visuals
LocalThunk,localthunk.com,BROAD,Balatro,5M+,Indie,"Indie developer behind viral roguelike poker game",Roguelike poker with addictive mechanics
Hungry Studio,hungrystudio.com,BROAD,Various titles,10M+,VC-backed,"Emerging mobile game studio",Casual and mid-core games
Nazara,nazara.com,BROAD,World Cricket Championship,50M+,Public company (NSE: NAZARA),"Indian gaming company with cricket and esports focus",Cricket and sports games for India
Select Button,selectbutton.co.jp,BROAD,Various titles,5M+,VC-backed,"Japanese indie mobile game developer",Creative Japanese mobile games
Supercent,supercent.com,BROAD,Idle Lumber Inc,50M+,VC-backed,"Korean idle game specialist",Idle tycoon games with satisfying progression
Unico Studio,unicostudio.com,BROAD,Various casual games,1.6B+,VC-backed,"Massive casual game studio with 1.6B+ downloads",Casual games across genres
Spyke Games,spykegames.com,BROAD,Royal Riches,5M+,VC-backed,"Turkish social casino startup",Social casino with Turkish focus
TaleWorlds,taleworlds.com,BROAD,Mount and Blade Mobile,5M+,Self-funded,"Turkish studio famous for Mount and Blade franchise",Strategy RPG with historical combat
Mythical Games,mythicalgames.com,BROAD,NFL Rivals,6M+,$150M+ funding,"Blockchain gaming studio with FIFA partnership",Sports games with blockchain elements
Second Dinner,seconddinner.com,BROAD,Marvel Snap,20M+,$100M Series B (Griffin Gaming),"Ex-Blizzard team behind Marvel Snap success",Strategic card battler with Marvel IP
Kong Studios,kongstudios.com,BROAD,Guardian Tales,10M+,Series B (Unicorn status $1B),"Korean studio with $500M+ first-year revenue",Action-adventure RPG with retro style
Agave Games,agavegames.com,BROAD,Find the Cat,10M+,$18M Series A (Balderton),"Hidden object casual game developer",Hidden object games with casual appeal
End Game Interactive,endgame.io,BROAD,ZombsRoyale.io,10M+,$3M seed,"Battle royale with zombie theme developer",Browser-to-mobile battle royale
Rockbite Games,rockbitegames.com,BROAD,Idle Outpost,1M+,VC-backed,"Post-apocalyptic idle tycoon developer",Idle games with survival themes
Scorewarrior,scorewarrior.com,BROAD,Total Battle,5M+,VC-backed,"Fantasy strategy game developer",Fantasy strategy with hero collecting
Helio Games,heliogames.com,BROAD,Westland Survival,5M+,VC-backed,"Survival RPG developer with Western theme",Wild West survival RPG
Pride Studio,pride-games.com,BROAD,Exile Survival,1M+,VC-backed,"Survival genre mobile game developer",Harsh environment survival games
JETKITE Games,jetkite.com,BROAD,Zero City,10M+,VC-backed,"Zombie survival shelter builder developer",Apocalypse survival with shelter building
Netflix Games,netflix.com/games,BROAD,Squid Game: Unleashed,25M+,Part of Netflix (NASDAQ: NFLX),"Streaming giant's gaming division with licensed games",Games based on Netflix IP and acquisitions
Sega Mobile,sega.com,BROAD,Sonic Rumble,10M+,Public company (TYO: 6460),"Japanese gaming giant's mobile division with Sonic",Iconic Sega IP on mobile platforms
Peak Games (Zynga),peakgames.net,BROAD,Toy Blast,200M+,Acquired by Zynga ($1.8B),"Turkish studio behind Toon Blast phenomenon",Block puzzle games with cartoon characters
Niantic,nianticlabs.com,BROAD,Pokemon GO,1B+,$3.5B acquisition by Scopely,"AR pioneer with Pokemon GO and location games",AR mobile games with real-world exploration
