Rank,Company Name,Headquarters,Website,Revenue (USD/EUR),Employees,Pharma/Healthcare Focus,Key Pharmaceutical Clients,Europe Operations,Asia Operations,Volume/Orders,SEO Description,Key Services
34,Toll Group (Japan Post),Australia,tollgroup.com,$8.5B (2024),40000,Yes - Healthcare division,"APAC pharma companies",Limited - AU focus,Strong - Asia Pacific,APAC leader,"Japan Post subsidiary - leading Asia-Pacific logistics with healthcare division",Express; Logistics; Forwarding
35,Sankyu,Japan,sankyu.co.jp,$4.2B (2024),17000,Yes - Healthcare logistics,"Japanese pharma companies",Limited,Strong - Japan/Asia,Japan specialist,"Japanese logistics company with pharmaceutical and healthcare plant logistics",Plant Engineering; Logistics; Healthcare
36,Seino Holdings,Japan,seino.co.jp,$5.8B (2024),30000+,Yes - Medical logistics,"Japanese healthcare",Limited,Strong - Japan base,Japan trucking leader,"Major Japanese trucking and logistics company with medical logistics services",Trucking; 3PL; Last Mile
37,Yamato Holdings,Japan,yamato-hd.co.jp,$14.8B (2024),200000+,Yes - Healthcare delivery,"Healthcare/Pharma Japan",Limited,Dominant - Japan,Japan parcel leader,"Japan's largest delivery company with temperature-controlled healthcare logistics",Parcel; BtoB; Healthcare Delivery
38,Sagawa Express (SG Holdings),Japan,sagawa-exp.co.jp,$10.2B (2024),90000,Yes - Medical logistics,"Japanese healthcare",Limited,Strong - Japan/Asia,Japan express leader,"Major Japanese express delivery company with medical and healthcare logistics",Express; 3PL; Medical Delivery
39,Mainfreight,New Zealand,mainfreight.com,$4.1B (2024),11000,Yes - Healthcare solutions,"APAC pharma companies",Growing - European,Strong - Asia Pacific,APAC specialist,"New Zealand-based global logistics with healthcare and pharmaceutical capabilities",Freight; Warehousing; Air & Ocean
40,Fiege Logistik,Germany,fiege.com,$2.8B (2024),23000,Yes - Healthcare logistics,"German pharma companies",Strong - European,Limited,Contract logistics leader,"German family-owned logistics company with healthcare and pharmaceutical specialization",Contract Logistics; Real Estate; Healthcare
41,Röhlig Logistics,Germany,rohlig.com,$2.0B (2024),2500,Yes - GDP certified,"European pharma companies",Strong - European,Strong - Asia Pacific,Freight specialist,"German freight forwarder with GDP-certified pharmaceutical logistics services",Air/Sea Freight; Project Logistics; Pharma
42,Imperial Logistics,South Africa,imperiallogistics.com,$2.5B (2024),25000,Yes - Healthcare Africa,"African pharma market",Growing - European,Strong - Africa focus,Africa leader,"Leading African logistics company with healthcare and pharmaceutical distribution",Contract Logistics; Freight; Healthcare Africa
43,Logwin,Luxembourg,logwin-logistics.com,$1.4B (2024),4200,Yes - Healthcare solutions,"European pharma companies",Strong - European,Strong - Asia Pacific,Forwarding specialist,"Luxembourg-based logistics with healthcare and air/sea freight specialization",Air/Sea Freight; Solutions; Healthcare
44,TransGourmet (Coop),Switzerland,transgourmet.com,$10B+ (2024),30000,Yes - Food/Pharma cold chain,"Food/Pharma cold chain",Strong - European,Limited,Cold chain leader,"Major European food service and cold chain logistics with pharma capabilities",Food Service; Cold Chain; Distribution
45,cargo-partner,Austria,cargo-partner.com,$1.6B (2024),4000,Yes - Healthcare logistics,"European pharma companies",Strong - CEE specialist,Strong - Asia,CEE leader,"Austrian logistics company with healthcare and pharmaceutical specialization in CEE",Air/Sea Freight; Contract Logistics; Healthcare
46,Fracht Group,Switzerland,fracht.com,$2.0B (2024),3000+,Yes - Pharma logistics,"Swiss pharma companies",Strong - Swiss base,Strong - global,Swiss specialist,"Swiss family-owned freight forwarder with pharmaceutical and life sciences expertise",Air/Sea Freight; Pharma; Project Logistics
47,Raben Group,Netherlands,raben-group.com,$2.5B (2024),24000,Yes - Healthcare logistics,"European pharma companies",Very Strong - CEE/EU,Limited,CEE road leader,"Leading Central European logistics company with healthcare and pharmaceutical services",Road Freight; Contract Logistics; Fresh
48,Hupac (Intermodal),Switzerland,hupac.com,$700M (2024),600,Yes - Limited pharma,"Intermodal clients",Strong - European,Limited,Intermodal leader,"Leading European intermodal logistics operator with growing pharmaceutical capabilities",Intermodal; Rail; Combined Transport
49,Delica (M&S Logistics),Switzerland,delica.ch,$400M (2024),2500,Yes - Healthcare logistics,"Swiss healthcare",Strong - Swiss base,Limited,Swiss specialist,"Swiss healthcare and food logistics specialist with pharmaceutical distribution",Healthcare; Food Logistics; Distribution
50,Transporeon (Trimble),Germany,transporeon.com,$400M (2024),1500,Digital Platform,Logistics platform,"Strong - European platform",Growing - global,Digital leader,"Leading European logistics platform connecting shippers with carriers including pharma",Digital Platform; TMS; Visibility
