Game Name,Company,Downloads,VC Funding,Valuation,Domain,Description
Survival Tactics,Six Waves Inc.,5M+,VC-backed,N/A,6waves.com,"Zombie strategy RPG hybrid"
Zero City,JETKITE Games,10M+,VC-backed,N/A,jetkite.com,"Apocalypse survival shelter builder"
Shelter War,JETKITE Games,1M+,VC-backed,N/A,jetkite.com,"Underground bunker management"
Last Empire - War Z,Interesting Game Network,20M+,VC-backed,N/A,im30.net,"Zombie strategy warfare"
Resident Evil Survival Unit,Capcom / JOY,1M+,Public company backing,N/A,capcom.com,"RE-themed mobile strategy, 1M downloads in 24 hours"
Dawn of Zombies,Royal Ark,10M+,VC-backed,N/A,dozsurvival.com,"Post-nuclear survival RPG"
After Inc.,Ndemic Creations,5M+,Self-funded (Plague Inc. success),N/A,ndemiccreations.com,"Post-zombie apocalypse city builder"
Black Desert Mobile,Pearl Abyss,20M+,Public company (KOSDAQ),N/A,pearlabyss.com,"Open-world MMORPG with 40M users"
Goddess of Victory: Nikke,SHIFT UP,20M+,Public company,N/A,shiftup.co.kr,"Sci-fi shooter RPG with $500M+ first-year revenue"
Arknights,Yostar,10M+,VC-backed,N/A,yo-star.com,"Tower defense RPG with anime style"
Azur Lane,Yostar,10M+,VC-backed,N/A,yo-star.com,"Naval warfare collection game"
Blue Archive,Nexon,10M+,Public company (KOSDAQ),N/A,nexon.com,"Anime tactical RPG"
Westland Survival,Helio Games,5M+,VC-backed,N/A,heliogames.com,"Wild West survival RPG"
Exile Survival,Pride Studio,1M+,VC-backed,N/A,pride-games.com,"Harsh environment survival game"
Idle Outpost,Rockbite Games,1M+,VC-backed,N/A,rockbitegames.com,"Post-apocalyptic idle tycoon"
Total Battle,Scorewarrior,5M+,VC-backed,N/A,scorewarrior.com,"Fantasy strategy with hero recruiting"
